order_id,order_date,Customers,city,state,product_name,brand_name,category_name,store_name,staffName,total_units,Revenue
13,2016-01-08,Patience Clayton,Niagara Falls,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
13,2016-01-08,Patience Clayton,Niagara Falls,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,1199.98
13,2016-01-08,Patience Clayton,Niagara Falls,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,1199.98
13,2016-01-08,Patience Clayton,Niagara Falls,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,858
14,2016-01-09,Maribel William,Torrance,CA,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,1,469.99
15,2016-01-09,Ellsworth Michael,Carmel,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,2,599.98
15,2016-01-09,Ellsworth Michael,Carmel,NY,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,1099.98
15,2016-01-09,Ellsworth Michael,Carmel,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,898
15,2016-01-09,Ellsworth Michael,Carmel,NY,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,1799.99
16,2016-01-12,Lea Key,Banning,CA,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Santa Cruz Bikes,Genna Serrano,1,269.99
16,2016-01-12,Lea Key,Banning,CA,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,2,539.98
16,2016-01-12,Lea Key,Banning,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,1,269.99
16,2016-01-12,Lea Key,Banning,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,1,1799.99
17,2016-01-12,Sindy Anderson,Pomona,CA,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Santa Cruz Bikes,Genna Serrano,1,299.99
17,2016-01-12,Sindy Anderson,Pomona,CA,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,2,1199.98
17,2016-01-12,Sindy Anderson,Pomona,CA,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,1,1320.99
17,2016-01-12,Sindy Anderson,Pomona,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,1,1799.99
18,2016-01-14,Lanita Burton,Coachella,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Santa Cruz Bikes,Genna Serrano,1,269.99
18,2016-01-14,Lanita Burton,Coachella,CA,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,Santa Cruz Bikes,Genna Serrano,2,999.98
18,2016-01-14,Lanita Burton,Coachella,CA,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,2,1499.98
18,2016-01-14,Lanita Burton,Coachella,CA,Trek Conduit+ - 2016,Trek,Electric Bikes,Santa Cruz Bikes,Genna Serrano,2,5999.98
18,2016-01-14,Lanita Burton,Coachella,CA,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,1,3999.99
19,2016-01-14,Norine Huffman,Encino,CA,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,1,1549
19,2016-01-14,Norine Huffman,Encino,CA,Trek Conduit+ - 2016,Trek,Electric Bikes,Santa Cruz Bikes,Mireya Copeland,2,5999.98
20,2016-01-14,Randee Pitts,Canyon Country,CA,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,2,3098
20,2016-01-14,Randee Pitts,Canyon Country,CA,Trek Conduit+ - 2016,Trek,Electric Bikes,Santa Cruz Bikes,Mireya Copeland,1,2999.99
21,2016-01-15,Neoma Daugherty,Mount Vernon,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
21,2016-01-15,Neoma Daugherty,Mount Vernon,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,429
21,2016-01-15,Neoma Daugherty,Mount Vernon,NY,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,1,1549
22,2016-01-16,Tangela Hurley,Campbell,CA,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Santa Cruz Bikes,Mireya Copeland,1,269.99
22,2016-01-16,Tangela Hurley,Campbell,CA,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,2,1059.98
23,2016-01-16,Drucilla Gilliam,Santa Clara,CA,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,1,269.99
23,2016-01-16,Drucilla Gilliam,Santa Clara,CA,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Santa Cruz Bikes,Mireya Copeland,2,599.98
23,2016-01-16,Drucilla Gilliam,Santa Clara,CA,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,5799.98
24,2016-01-18,Ashton Lott,Floral Park,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,898
24,2016-01-18,Ashton Lott,Floral Park,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Venita Daniel,2,1999.98
25,2016-01-18,Sam Lester,Baldwin,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
25,2016-01-18,Sam Lester,Baldwin,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
25,2016-01-18,Sam Lester,Baldwin,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
25,2016-01-18,Sam Lester,Baldwin,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,2,599.98
25,2016-01-18,Sam Lester,Baldwin,NY,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,2,3098
26,2016-01-18,Jackeline Colon,Wappingers Falls,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
26,2016-01-18,Jackeline Colon,Wappingers Falls,NY,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,549.99
26,2016-01-18,Jackeline Colon,Wappingers Falls,NY,Ritchey Timberwolf Frameset - 2016,Ritchey,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,749.99
26,2016-01-18,Jackeline Colon,Wappingers Falls,NY,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,3999.99
27,2016-01-19,Pamala Henry,Bronx,NY,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
27,2016-01-19,Pamala Henry,Bronx,NY,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,1320.99
27,2016-01-19,Pamala Henry,Bronx,NY,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,449
27,2016-01-19,Pamala Henry,Bronx,NY,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,1799.99
28,2016-01-19,Eleni Gordon,Richmond Hill,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,539.98
28,2016-01-19,Eleni Gordon,Richmond Hill,NY,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,1320.99
28,2016-01-19,Eleni Gordon,Richmond Hill,NY,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,469.99
28,2016-01-19,Eleni Gordon,Richmond Hill,NY,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,2,7999.98
29,2016-01-20,Laureen Barry,Orchard Park,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,2,539.98
29,2016-01-20,Laureen Barry,Orchard Park,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,539.98
29,2016-01-20,Laureen Barry,Orchard Park,NY,Electra Townie Original 21D - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,2,1099.98
29,2016-01-20,Laureen Barry,Orchard Park,NY,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,469.99
29,2016-01-20,Laureen Barry,Orchard Park,NY,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,1799.99
30,2016-01-20,Yvone Guerrero,Merrick,NY,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,1,599.99
30,2016-01-20,Yvone Guerrero,Merrick,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,429
30,2016-01-20,Yvone Guerrero,Merrick,NY,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,1,449
30,2016-01-20,Yvone Guerrero,Merrick,NY,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,2899.99
30,2016-01-20,Yvone Guerrero,Merrick,NY,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,2,7999.98
31,2016-01-20,Edgar Quinn,Harlingen,TX,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,Rowlett Bikes,Kali Vargas,2,3361.98
31,2016-01-20,Edgar Quinn,Harlingen,TX,Trek Conduit+ - 2016,Trek,Electric Bikes,Rowlett Bikes,Kali Vargas,2,5999.98
32,2016-01-21,Kimbery Nieves,San Carlos,CA,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,2,1099.98
32,2016-01-21,Kimbery Nieves,San Carlos,CA,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,Santa Cruz Bikes,Genna Serrano,2,999.98
32,2016-01-21,Kimbery Nieves,San Carlos,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,2,3599.98
33,2016-01-21,Verona O'neill,Selden,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,2,599.98
33,2016-01-21,Verona O'neill,Selden,NY,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,3999.99
34,2016-01-22,Sarai Mckee,Buffalo,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,858
34,2016-01-22,Sarai Mckee,Buffalo,NY,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,2,3098
34,2016-01-22,Sarai Mckee,Buffalo,NY,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,2,3599.98
35,2016-01-22,Neville Mcclain,West Hempstead,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
35,2016-01-22,Neville Mcclain,West Hempstead,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,1,269.99
35,2016-01-22,Neville Mcclain,West Hempstead,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
35,2016-01-22,Neville Mcclain,West Hempstead,NY,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,1320.99
35,2016-01-22,Neville Mcclain,West Hempstead,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,449
36,2016-01-23,Shantel Gregory,West Islip,NY,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,1320.99
36,2016-01-23,Shantel Gregory,West Islip,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,2,1999.98
36,2016-01-23,Shantel Gregory,West Islip,NY,Trek Conduit+ - 2016,Trek,Electric Bikes,Baldwin Bikes,Marcelene Boyer,1,2999.99
37,2016-01-25,Tomika Larson,Woodside,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,1199.98
38,2016-01-25,Lashandra Turner,Long Beach,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,1,299.99
38,2016-01-25,Lashandra Turner,Long Beach,NY,Electra Townie Original 21D - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Venita Daniel,1,549.99
38,2016-01-25,Lashandra Turner,Long Beach,NY,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,Baldwin Bikes,Venita Daniel,1,499.99
38,2016-01-25,Lashandra Turner,Long Beach,NY,Surly Straggler - 2016,Surly,Cyclocross Bicycles,Baldwin Bikes,Venita Daniel,2,3098
38,2016-01-25,Lashandra Turner,Long Beach,NY,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,2,7999.98
39,2016-01-25,Travis Whitley,Saint Albans,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
39,2016-01-25,Travis Whitley,Saint Albans,NY,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,529.99
39,2016-01-25,Travis Whitley,Saint Albans,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
39,2016-01-25,Travis Whitley,Saint Albans,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Venita Daniel,2,1999.98
40,2016-01-27,Darren Witt,Coachella,CA,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,1,429
40,2016-01-27,Darren Witt,Coachella,CA,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,2,3599.98
41,2016-01-27,Ingeborg Ellison,Ithaca,NY,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,2,1199.98
41,2016-01-27,Ingeborg Ellison,Ithaca,NY,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,1,1320.99
41,2016-01-27,Ingeborg Ellison,Ithaca,NY,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,898
42,2016-01-27,Corene Swanson,Rego Park,NY,Pure Cycles William 3-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,449
43,2016-01-27,Elana Miles,Liverpool,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
43,2016-01-27,Elana Miles,Liverpool,NY,Electra Townie Original 21D - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,1099.98
44,2016-01-28,Olympia Figueroa,Hopewell Junction,NY,Electra Townie Original 7D EQ - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,599.99
44,2016-01-28,Olympia Figueroa,Hopewell Junction,NY,Trek Slash 8 27.5 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,3999.99
45,2016-01-28,Carissa Cross,Huntington Station,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
45,2016-01-28,Carissa Cross,Huntington Station,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Venita Daniel,1,269.99
45,2016-01-28,Carissa Cross,Huntington Station,NY,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,2,5799.98
46,2016-01-29,Eldridge Greer,Central Islip,NY,Pure Cycles Vine 8-Speed - 2016,Pure Cycles,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,429
47,2016-01-29,Joshua Berg,Ossining,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,269.99
47,2016-01-29,Joshua Berg,Ossining,NY,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,529.99
47,2016-01-29,Joshua Berg,Ossining,NY,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,Baldwin Bikes,Venita Daniel,2,999.98
47,2016-01-29,Joshua Berg,Ossining,NY,Surly Ice Cream Truck Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,469.99
48,2016-01-30,Josephine Dale,Baldwinsville,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,2,539.98
48,2016-01-30,Josephine Dale,Baldwinsville,NY,Heller Shagamaw Frame - 2016,Heller,Mountain Bikes,Baldwin Bikes,Venita Daniel,2,2641.98
48,2016-01-30,Josephine Dale,Baldwinsville,NY,Surly Straggler 650b - 2016,Surly,Cyclocross Bicycles,Baldwin Bikes,Venita Daniel,1,1680.99
48,2016-01-30,Josephine Dale,Baldwinsville,NY,Trek Fuel EX 8 29 - 2016,Trek,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,2899.99
49,2016-01-31,Taisha Vang,Shirley,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,539.98
50,2016-01-31,Silas Tate,Corpus Christi,TX,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Rowlett Bikes,Kali Vargas,2,539.98
50,2016-01-31,Silas Tate,Corpus Christi,TX,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Rowlett Bikes,Kali Vargas,2,1199.98
50,2016-01-31,Silas Tate,Corpus Christi,TX,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Rowlett Bikes,Kali Vargas,1,999.99
51,2016-02-01,Jamaal Baker,Elmhurst,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,269.99
51,2016-02-01,Jamaal Baker,Elmhurst,NY,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
51,2016-02-01,Jamaal Baker,Elmhurst,NY,Electra Townie Original 7D EQ - Women's - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,1,599.99
52,2016-02-03,Twana Arnold,Anaheim,CA,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,Santa Cruz Bikes,Mireya Copeland,1,499.99
53,2016-02-03,Margit Osborn,Plainview,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,539.98
53,2016-02-03,Margit Osborn,Plainview,NY,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,2,599.98
53,2016-02-03,Margit Osborn,Plainview,NY,Electra Townie Original 7D - 2015/2016,Electra,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,2,999.98
53,2016-02-03,Margit Osborn,Plainview,NY,Trek Remedy 29 Carbon Frameset - 2016,Trek,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,2,3599.98
54,2016-02-04,Inge Olsen,Long Beach,NY,Electra Townie Original 7D EQ - 2016,Electra,Comfort Bicycles,Baldwin Bikes,Venita Daniel,2,1199.98
54,2016-02-04,Inge Olsen,Long Beach,NY,Surly Wednesday Frameset - 2016,Surly,Mountain Bikes,Baldwin Bikes,Venita Daniel,1,999.99
55,2016-02-04,Chanel May,Garden City,NY,Electra Cruiser 1 (24-Inch) - 2016,Electra,Children Bicycles,Baldwin Bikes,Marcelene Boyer,1,269.99
55,2016-02-04,Chanel May,Garden City,NY,Electra Moto 1 - 2016,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,2,1059.98
